,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
31,"Please note this message may contain information that some may find upsetting. 
 On 11-02-2021 05:00:00, a sexual assault occurred at 2520 Channing Way, Berkeley, CA. 
 If you have any information about this crime, or if you know of any similar incidents please contact: UCPD (510) 642-6760","Violent Crime Reported at 2520 Channing Way, Berkeley, CA - Please note this message may contain information that some may find upsetting.","Nov 02, 2021 05:36:38 PDT",Timely Warning ,Sexual Assault,None,Address / Specific Named,Touch ,Memorable detail,none,none,Address / Specific Named,Touch ,none,none,none,,,,,,,,,,
32,"UC Berkeley WarnMe: Police activity at Upper Hearst Parking Structure-2701 Hearst Ave Berkeley. AVOID THE AREA until further notice. 
 There is a large gas spill in the lower level of the Upper Hearst Parking Structure-2701 Hearst Ave in Berkeley. Be advised of the Strong, hazardous odor in the parking structure. Clean-up crews have been notified but are not on the scene.",UC Berkeley WarnMe: AVOID THE AREA of Upper Hearst Parking Structure-2701 Hearst Ave Berkeley,"Nov 03, 2021 16:08:11 PDT",Emergency Notification,Incident: Police Activity,Incident: Environmental / Weather,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
33,"Update on the activity at Upper Hearst Parking Structure-2701 Hearst Ave Berkeley.
 UPDATE: The area is safe to return to but there will still be a lingering odor of gasoline as the spill dissipates. The lower parking level is still closed for entering vehicles.",UC Berkeley WarnMe: UPDATE on AVOID THE AREA of Upper Hearst Parking Structure-2701 Hearst Ave Berkeley,"Nov 03, 2021 20:35:42 PDT",Emergency Notification,Incident: Police Activity,Incident: Environmental / Weather,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
34,Update on the activity at Upper Hearst Parking Structure-2701 Hearst Ave Berkeley.,Community Message - Upper Sproul Parking Garage,"Nov 04, 2021 10:16:47 PDT",Community Advisory ,Incident: Police Activity,Incident: Environmental / Weather,Radius / Area,none,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
35,"Please note this message may contain information that some may find upsetting. 
 On 11-04-2021 20:47:00, a robbery occurred at Valley Life Science Building / Frank Schlesinger Way. 
 On November 4th, 2021 at 8:47pm an attempted Strong-arm Robbery occurred in the Area of the Valley Life Sciences Building. The two suspects were last seen fleeing west on Frank Schlesinger Way.",Violent Crime Reported at Valley Life Science Building / Frank Schlesinger Way - Please note this message may contain information that some may find upsetting.,"Nov 04, 2021 21:06:09 PDT",Timely Warning ,Robbery,None,Radius / Area,Reconstructed Scenario,Reconstructed Scenario,none,none,Intersection,Reconstructed Scenario,Touch ,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
36,"Please note this message may contain information that some may find upsetting. 
 On 11-04-2021 21:00:00, a robbery occurred at Channing Way and College Avenue. 
 On November 4th, 2021 at approximately 9:00 pm a robbery via gun occurred near the intersection of College Avenue and Channing Way in the city of Berkeley's jurisdiction. The suspect was last seen fleeing westbound on Channing Way on foot. 
 Berkeley Police Department Case #21-51212.",Violent Crime Reported at Channing Way and College Avenue - Please note this message may contain information that some may find upsetting.,"Nov 04, 2021 21:29:09 PDT",Timely Warning ,Robbery,None,Radius / Area,Reconstructed Scenario,none,none,none,Intersection,Memorable detail,Reconstructed Scenario,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
37,"Please note this message may contain information that some may find upsetting. 
 On 11-05-2021 00:25:00, a robbery occurred at Eucalyptus Grove/Grinnell Path. 
 A robbery via gun occurred in the area of Eucalyptus Grove/Grinnell Path at the wooden Bridge, west side of Weill Hall. The two suspects were last seen travelling on foot eastbound.",Violent Crime Reported at Eucalyptus Grove/Grinnell Path - Please note this message may contain information that some may find upsetting.,"Nov 05, 2021 01:25:17 PDT",Timely Warning ,Robbery,None,Radius / Area,none,none,none,none,Intersection,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
38,"Please note this message may contain information that some may find upsetting. 
 On 11-05-2021 00:30:00, a robbery occurred at Grinnell Path. 
 A robbery via gun occurred on Grinnell Path. The two suspects were last seen travelling on foot eastbound.",Violent Crime Reported at Grinnell Path - Please note this message may contain information that some may find upsetting.,"Nov 05, 2021 01:29:31 PDT",Timely Warning ,Robbery,None,Radius / Area,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
39,"UCPD has experienced multiple gasoline thefts from vehicles gas tanks parked inside the Upper Hearst Parking Structure (2701 Hearst Ave Berkeley) this week. Both times the victim's vehicle gas tank was drilled, causing damage to the gas tank and a gasoline spill in a confined area that could be hazardous. There is currently a gasoline spill in the Upper Hearst Parking Structure from this crime trend, and clean-up crews have been notified.",Community Message - Gasoline spill/ theft,"Nov 05, 2021 17:05:49 PDT",Community Advisory ,Incident: Environmental / Weather,None,Radius / Area,Memorable detail,Reconstructed Scenario,none,none,Address / Specific Named,Safety Instructions / Tips,Reconstructed Scenario,"No Race, Gender Neutral",none,,,,,,,,,,
40,"Please note this message may contain information that some may find upsetting. 
 Community Advisory: 
 UCPD has experienced multiple gasoline thefts from vehicles gas tanks parked inside the Upper Hearst Parking Structure (2701 Hearst Ave Berkeley) this week. Both times the victim's vehicle gas tank was drilled, causing damage to the gas tank and a gasoline spill in a confined area that could be hazardous. There is currently a gasoline spill in the Upper Hearst Parking Structure from this crime trend, and clean-up crews have been notified.",Community Advisory - Please note this message may contain information that some may find upsetting.,"Nov 05, 2021 17:10:51 PDT",Community Advisory ,Incident: Environmental / Weather,None,Radius / Area,Memorable detail,Reconstructed Scenario,none,none,Address / Specific Named,Safety Instructions / Tips,Reconstructed Scenario,"No Race, Gender Neutral",none,,,,,,,,,,
41,"Please note this message may contain information that some may find upsetting. 
 Community Advisory: 
 UCPD has experienced multiple gasoline thefts from vehicles gas tanks parked inside the Upper Hearst Parking Structure (2701 Hearst Ave Berkeley) this week. Both times the victim's vehicle gas tank was drilled, causing damage to the gas tank and a gasoline spill in a confined area that could be hazardous. There is currently a gasoline spill in the Upper Hearst Parking Structure from this crime trend, and clean-up crews have been notified.",Community Advisory - Please note this message may contain information that some may find upsetting.,"Nov 05, 2021 17:20:07 PDT",Community Advisory ,Incident: Environmental / Weather,None,Radius / Area,Memorable detail,Reconstructed Scenario,none,none,Address / Specific Named,Reconstructed Scenario,Reconstructed Scenario,"No Race, Gender Neutral",none,,,,,,,,,,
42,"Please note this message may contain information that some may find upsetting. 
 On 11-05-2021 18:55:00, a robbery occurred at Dana Street/ Parker Street. 
 Armed street robbery via gun at the intersection of Dana Street/ Parker Street in the city of Berkeley.",Violent Crime Reported at Dana Street/ Parker Street - Please note this message may contain information that some may find upsetting.,"Nov 05, 2021 19:02:02 PDT",Timely Warning ,Robbery,None,Intersection,none,none,none,none,Intersection,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
43,"Please note this message may contain information that some may find upsetting. 
 On 11-08-2021 14:12:00, a burglary occurred at Evans Hall. 
 Unidentified suspect(s) stole three laptops and 3 IPad from graduate students studying in a common area of Evans Hall. Victim was able to ping laptops in the south campus area until the ping was viewed getting on Bart train to San Francisco.",Burglary at Evans Hall,"Nov 08, 2021 15:18:04 PST",Timely Warning ,Burglary,None,Address / Specific Named,Memorable detail,Reconstructed Scenario,"Gender, No Race",none,Address / Specific Named,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
44,"Please note this message may contain information that some may find upsetting. 
 On 11-08-2021 12:15:00, a burglary occurred at Anna Head Alumnae Hall. 
 A burglary occurred at Anna Head Alumnae Hall, building B. The crime occurred from 11/05/21 1700 hours to 11/08/21 1215 hours. Two hundred Anna Head Alumnae Hall issued keys that belonged to Anna Head Building A, B, and C were taken. No suspect information at this time. This case is under investigation.",Burglary at Anna Head Alumnae Hall,"Nov 08, 2021 15:43:41 PST",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,,,,,,,,,,
45,More than 40 students or staff affiliated with the Cal Football program have tested positive for COVID-19 over the last 2 weeks. Everyone is reminded to continue to follow safety protocols including wearing masks while indoors and staying home when sick.,UC Berkeley WarnMe: CalFootball COVID Cases,"Nov 10, 2021 09:30:00 PST",Timely Warning ,Incident: Covid,None,All campus,Safety Instructions / Tips,Memorable detail,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
46,"Please note this message may contain information that some may find upsetting. 
 On 11-10-2021 21:30:00, a robbery occurred at People's Park. 
 Robbery occurred on the east side of People's Park. The suspect approached the victim, punched her and took her property before fleeing on foot in an unknown direction. 
 Investigation is on-going.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Nov 10, 2021 23:32:33 PST",Timely Warning ,Robbery,None,Block,Touch ,People's Park,"Gender, No Race",none,Address / Specific Named,People's Park,Touch ,"Gender, No Race","No Race, Gender Neutral",,,,,,,,,,
47,"Please note this message may contain information that some may find upsetting. 
 On 11-13-2021 20:30:00, a robbery occurred at Sather Lane. 
 A strong arm robbery occurred at approx. 2030 hours in the Sather Lane. Suspect last seen running east on Durant",Violent Crime Reported at Sather Lane - Please note this message may contain information that some may find upsetting.,"Nov 14, 2021 03:00:58 PST",Timely Warning ,Robbery,None,Radius / Area,Touch ,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",,,,,,,,,,
48,"Please note this message may contain information that some may find upsetting. 
 On 11-14-2021 09:39:00, a burglary occurred at Univ. Village Albany (UVA) girl's softball storage shed. 
 A three wheel ATV was taken from Univ. Village Albany (UVA) girl's softball storage shed. ATV was last seen on 11/06. Suspect(s) entered storage shed by breaking storage roll up door lock. Suspect(s) are unknown at this time. This case is under investigation.",Burglary at Univ. Village Albany (UVA) girl's softball storage shed,"Nov 14, 2021 16:29:19 PST",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",,,,,,,,,,
49,"Please note this message may contain information that some may find upsetting. 
 On 11-21-2021 13:30:00, an aggravated assault occurred at People's Park. 
 In People's Park, a fight occurred between three male subjects causing one of the male subjects to split his lip open. All three subjects declined medical treatment and wanted to seek prosecution against each other. Due to mutual combat that occurred between the three subjects and all subjects declined medical, UCPD chose to conduct an out of custody investigation. Further follow up to continue.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Nov 21, 2021 18:03:58 PST",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,"Gender, No Race","Gender, No Race",Address / Specific Named,People's Park,Memorable detail,"Gender, No Race","Gender, No Race",,,,,,,,,,
50,"Please note this message may contain information that some may find upsetting. 
 On 11-22-2021 23:35:00, a robbery occurred at South side of Evans Hall. 
 On 11/22/2021 at approx. 2335 hours a strongarm robbery occurred on the south side of Evans Hall. Two suspect approached the victim and took his property. Suspects fled in an older model ""Honda type"" sedan east on University Dr the south on Gayley. The victim suffered minor injuries",Violent Crime Reported at South side of Evans Hall - Please note this message may contain information that some may find upsetting.,"Nov 22, 2021 23:56:27 PST",Timely Warning ,Robbery,None,Address / Specific Named,Reconstructed Scenario,none,"Gender, No Race",none,Block,Reconstructed Scenario,none,"Gender, No Race","No Race, Gender Neutral",,,,,,,,,,
